Bury North	65,440	67,911	67,580	Greater Manchester	England	North West
Bury South	73,212	75,140	73,883	Greater Manchester	England	North West
Bury St Edmunds	76,640	85,933	85,982	Suffolk	England	Eastern
Calder Valley	75,379	76,041	77,754	West Yorkshire (Calderdale)	England	Yorkshire & the Humber
Camberwell and Peckham	67,764	78,605	82,746	London (Southwark)	England	London
Camborne and Redruth	60,773	64,798	66,944	Cornwall	England	South West
Cambridge	76,906	75,259	83,384	Cambridgeshire	England	Eastern
Cannock Chase	70,995	75,680	74,532	Staffordshire	England	West Midlands
Canterbury	72,745	73,779	81,341	Kent	England	South East
Carlisle	63,001	66,322	65,827	Cumbria	England	North West
Carshalton and Wallington	65,610	67,044	69,981	London (Sutton)	England	London
Castle Point	68,065	64,562	68,170	Essex	England	Eastern
Central Devon	63,563	71,563	72,737	Devon	England	South West
Central Suffolk and North Ipswich	69,264	76,177	76,666	Suffolk	England	Eastern
Charnwood	70,869	75,454	77,269	Leicestershire	England	East Midlands
Chatham and Aylesford	66,482	68,437	66,355	Kent	England	South East
Cheadle	72,933	71,797	73,239	Greater Manchester	England	North West
Chelmsford	72,835	77,835	78,580	Essex	England	Eastern
Chelsea and Fulham	63,330	62,958	63,478	London (Hammersmith and Fulham and Kensington and Chelsea)	England	London
Cheltenham	73,330	77,937	77,287	Gloucestershire	England	South West
Chesham and Amersham	70,596	70,723	72,547	Buckinghamshire	England	South East
Chesterfield	71,299	72,866	71,625	Derbyshire	England	East Midlands
Chichester	75,499	81,804	83,396	West Sussex	England	South East
Chingford and Woodford Green	63,910	64,770	66,680	London (Redbridge and Waltham Forest)	England	London
Chippenham	65,755	73,312	74,218	Wiltshire	England	South West
Chipping Barnet	74,890	76,455	77,807	London (Barnet)	England	London
Chorley	68,899	71,333	74,679	Lancashire	England	North West
Christchurch	66,744	69,008	69,303	Dorset	England	South West
Cities of London and Westminster	61,621	65,140	60,992	London (City and Westminster)	England	London
City of Chester	69,279	68,280	74,485	Cheshire	England	North West
City of Durham	69,926	72,659	68,725	County Durham	England	North East
Clacton	65,999	67,447	68,936	Essex	England	Eastern
Cleethorpes	68,938	70,895	71,008	East Yorkshire & North Lincolnshire	England	Yorkshire & the Humber
Colchester	70,933	73,638	74,204	Essex	England	Eastern
Colne Valley	78,355	80,791	82,516	West Yorkshire (Kirklees)	England	Yorkshire & the Humber
Congleton	71,944	73,820	72,503	Cheshire	England	North West
Copeland	62,517	63,696	62,087	Cumbria	England	North West
Corby	72,053	79,468	79,775	Northamptonshire	England	East Midlands
Coventry North East	76,185	74,870	75,462	West Midlands	England	West Midlands
Coventry North West	73,595	74,180	73,626	West Midlands	England	West Midlands
Coventry South	72,903	75,705	70,397	West Midlands	England	West Midlands
Crawley	71,789	71,793	73,936	West Sussex	England	South East
Crewe and Nantwich	69,130	78,845	74,169	Cheshire	England	North West
Croydon Central	73,420	76,980	78,171	London (Croydon)	England	London
Croydon North	79,819	85,107	85,941	London (Croydon)	England	London
Croydon South	78,363	81,554	82,010	London (Croydon)	England	London
Dagenham and Rainham	71,205	70,187	69,128	London (Barking and Dagenham and Havering)	England	London
Darlington	65,872	67,476	65,851	County Durham	England	North East
Dartford	69,471	74,756	75,209	Kent	England	South East
Daventry	67,256	71,903	72,873	Northamptonshire	England	East Midlands
Denton and Reddish	65,855	65,684	66,141	Greater Manchester	England	North West
Derby North	71,311	72,617	69,794	Derbyshire	England	East Midlands
Derby South	69,584	72,048	70,240	Derbyshire	England	East Midlands
Derbyshire Dales	62,511	63,732	63,476	Derbyshire	England	East Midlands
Devizes	64,707	68,846	69,205	Wiltshire	England	South West
Dewsbury	76,886	79,634	79,770	West Yorkshire (Kirklees)	England	Yorkshire & the Humber
Don Valley	72,358	73,674	71,299	South Yorkshire	England	Yorkshire & the Humber
Doncaster Central	74,388	73,874	71,136	South Yorkshire	England	Yorkshire & the Humber
Doncaster North	73,907	72,855	70,989	South Yorkshire	England	Yorkshire & the Humber
Dover	69,932	71,993	72,930	Kent	England	South East
Dudley North	60,992	61,714	60,717	West Midlands	England	West Midlands
Dudley South	60,844	61,308	60,363	West Midlands	England	West Midlands
Dulwich and West Norwood	66,856	71,523	76,575	London (Lambeth and Southwark)	England	London
Ealing Central and Acton	71,258	69,828	71,422	London (Ealing)	England	London
Ealing North	72,971	73,105	73,881	London (Ealing)	England	London
Ealing, Southall	62,341	65,768	65,606	London (Ealing)	England	London
Easington	62,562	65,618	61,659	County Durham	England	North East
East Devon	69,068	72,406	76,519	Devon	England	South West
East Ham	72,900	91,531	87,382	London (Newham)	England	London
East Hampshire	67,452	72,648	71,074	Hampshire	England	South East
East Surrey	74,786	77,145	79,654	Surrey	England	South East
East Worthing and Shoreham	71,760	72,996	74,775	West Sussex	England	South East
East Yorkshire	72,018	80,435	81,023	East Yorkshire & North Lincolnshire	England	Yorkshire & the Humber
Eastbourne	66,949	76,978	78,262	East Sussex	England	South East
Eastleigh	72,715	78,313	79,609	Hampshire	England	South East
Eddisbury	63,923	65,914	68,569	Cheshire	England	North West
Edmonton	65,443	64,356	66,016	London (Enfield)	England	London
Ellesmere Port and Neston	68,372	66,995	69,223	Cheshire	England	North West
Elmet and Rothwell	76,580	77,994	79,143	West Yorkshire (Leeds)	England	Yorkshire & the Humber
Eltham	64,907	63,059	63,998	London (Greenwich)	England	London
Enfield North	65,709	66,761	68,118	London (Enfield)	England	London
Enfield, Southgate	67,943	64,932	64,937	London (Enfield)	England	London
Epping Forest	70,441	72,212	73,447	Essex	England	Eastern
Epsom and Ewell	72,866	76,916	78,633	Surrey	England	South East
Erewash	68,934	70,022	71,943	Derbyshire	England	East Midlands
Erith and Thamesmead	64,307	69,718	70,397	London (Bexley and Greenwich)	England	London
Esher and Walton	74,052	76,962	79,894	Surrey	England	South East
Exeter	74,492	76,796	76,968	Devon	England	South West
Fareham	71,423	76,457	77,114	Hampshire	England	South East
Faversham and Mid Kent	66,179	68,521	69,523	Kent	England	South East
