"Constituency Name","Tactical Voting Advice","Stand-aside Advice","Lab-Con","Win19","Second19","CON%","LAB%","LD%","GRN%","Labour Target","Lib Dem target"
"Gravesham","NOT LABOUR",,-32.8,"Con","Lab",62.2,29.4,5.4,2.9,366,
"North Northumberland","NOT LABOUR",,-32.8,"Con","Lab",55.9,23.1,16.1,3.4,367,124
"North East Hertfordshire","NOT LABOUR",,-32.9,"Con","Lab",56.6,23.7,15.5,4.3,368,135
"Gillingham and Rainham","NOT LABOUR",,-32.9,"Con","Lab",61.3,28.4,5.4,2.3,369,
"Stoke-on-Trent South","NOT LABOUR",,-32.9,"Con","Lab",62.5,29.6,6.2,1.6,370,
"South Norfolk","NOT LABOUR",,-33.1,"Con","Lab",56.5,23.4,17.0,3.2,371,111
"Mid Sussex","LIB DEM",,-33.3,"Con","LD",51.3,18.0,25.5,4.1,372,60
"Isle of Wight East","GREEN",,-33.3,"Con","Lab",57.4,24.1,0.0,14.0,373,
"Kettering","NOT LABOUR",,-33.4,"Con","Lab",60.3,26.9,6.7,3.0,374,
"Cheadle","LIB DEM","GREEN",-33.7,"Con","LD",46.0,12.3,41.8,0.0,,10
"Didcot and Wantage","LIB DEM","GREEN",-33.7,"Con","LD",49.8,16.0,31.3,0.7,375,34
"Reading West and Mid Berkshire","NOT LABOUR",,-33.9,"Con","Lab",56.8,22.9,16.9,3.4,376,114
"Mansfield","NOT LABOUR",,-34.0,"Con","Lab",64.3,30.3,3.3,0.0,377,
"Wellingborough and Rushden","NOT LABOUR",,-34.1,"Con","Lab",62.4,28.3,6.7,2.7,378,
"Portsmouth North","NOT LABOUR",,-34.4,"Con","Lab",61.4,27.0,7.4,2.8,379,
"South Dorset","NOT LABOUR",,-34.4,"Con","Lab",59.2,24.8,10.7,4.4,380,
"Aldershot","NOT LABOUR",,-34.7,"Con","Lab",56.8,22.1,17.5,3.5,381,108
"Tatton","NOT LABOUR",,-34.8,"Con","Lab",57.3,22.5,16.2,3.7,382,123
"Derbyshire Dales","NOT LABOUR",,-34.9,"Con","Lab",59.0,24.1,12.8,4.1,383,
"South Derbyshire","NOT LABOUR",,-34.9,"Con","Lab",62.1,27.2,7.3,3.3,384,
"Suffolk Coastal","NOT LABOUR",,-35.1,"Con","Lab",56.4,21.4,15.1,4.4,385,145
"Harlow","NOT LABOUR",,-35.2,"Con","Lab",64.6,29.3,5.9,0.3,386,
"Richmond Park","LIB DEM","GREEN",-35.3,"LD","Con",40.6,5.3,53.6,0.0,,2
"Ashford","NOT LABOUR",,-35.4,"Con","Lab",59.2,23.8,10.7,4.6,387,
"Runnymede and Weybridge","LIB DEM",,-35.5,"Con","LD",53.2,17.7,22.7,2.7,388,72
"Sutton and Cheam","LIB DEM","GREEN",-35.7,"Con","LD",50.0,14.3,33.4,2.3,,24
"South West Hertfordshire","NOT LABOUR",,-36.1,"Con","Other",52.2,16.1,12.7,1.5,389,
"North West Cambridgeshire","NOT LABOUR",,-36.2,"Con","Lab",60.0,23.7,11.0,5.2,390,
"Beverley and Holderness","NOT LABOUR",,-36.3,"Con","Lab",61.0,24.7,9.3,2.5,391,
"Windsor","NOT LABOUR",,-36.5,"Con","Lab",56.0,19.6,18.9,3.5,392,97
"Salisbury","NOT LABOUR",,-36.5,"Con","LD",55.2,18.7,19.5,5.1,393,91
"South Devon","LIB DEM","GREEN",-36.5,"Con","LD",53.6,17.0,28.2,0.2,394,49
"Congleton","NOT LABOUR",,-36.5,"Con","Lab",60.6,24.1,11.1,2.9,395,
"Chelmsford","LIB DEM",,-36.6,"Con","LD",54.7,18.1,26.1,0.0,396,57
"Mid Leicestershire","NOT LABOUR",,-36.6,"Con","Lab",62.2,25.6,8.0,4.1,397,
"North West Leicestershire","NOT LABOUR",,-36.7,"Con","Lab",62.1,25.4,6.8,4.7,398,
"Guildford","LIB DEM","GREEN",-36.7,"Con","LD",45.1,8.4,39.2,0.4,,17
"Epsom and Ewell","LIB DEM",,-36.8,"Con","LD",53.6,16.8,24.2,3.3,399,66
"South West Wiltshire","NOT LABOUR",,-36.8,"Con","Lab",58.3,21.5,16.5,3.7,400,120
"Sutton Coldfield","NOT LABOUR",,-36.8,"Con","Lab",60.4,23.6,12.2,3.9,401,
"Amber Valley","NOT LABOUR",,-37.0,"Con","Lab",63.8,26.8,6.3,3.0,402,
"Bicester and Woodstock","LIB DEM",,-37.1,"Con","LD",53.9,16.9,26.6,2.4,403,56
"Fylde","NOT LABOUR",,-37.1,"Con","Lab",62.2,25.2,7.3,3.5,404,
"Spelthorne","NOT LABOUR",,-37.2,"Con","Lab",58.9,21.7,15.1,4.3,405,143
"Bridgwater","NOT LABOUR",,-37.2,"Con","Lab",57.9,20.7,17.6,2.1,406,106
"Staffordshire Moorlands","NOT LABOUR",,-37.4,"Con","Lab",64.1,26.7,6.1,3.1,407,
"Broadland and Fakenham","NOT LABOUR",,-37.5,"Con","Lab",59.1,21.6,16.1,2.5,408,126
"Chester South and Eddisbury","NOT LABOUR",,-37.7,"Con","Lab",59.2,21.5,15.3,2.1,409,140
"Newton Abbot","LIB DEM",,-37.8,"Con","LD",55.6,17.7,22.2,2.9,410,75
"Poole","NOT LABOUR",,-38.1,"Con","Lab",58.8,20.7,15.3,3.4,411,138
"Romford","NOT LABOUR",,-38.3,"Con","Lab",64.8,26.4,5.8,3.0,412,
"Huntingdon","NOT LABOUR",,-38.4,"Con","Lab",59.2,20.8,14.0,3.5,413,
"South East Cornwall","NOT LABOUR",,-38.7,"Con","Lab",59.0,20.3,16.3,2.7,414,122
"Redditch","NOT LABOUR",,-38.8,"Con","Lab",64.7,25.9,6.4,3.0,415,
"Reigate","NOT LABOUR",,-38.9,"Con","LD",55.8,16.9,19.9,5.8,416,86
"North Warwickshire and Bedworth","NOT LABOUR",,-39.1,"Con","Lab",65.9,26.8,4.5,2.8,417,
"Newark","NOT LABOUR",,-39.2,"Con","Lab",63.1,23.9,9.6,3.1,418,
"North Shropshire","NOT LABOUR",,-39.3,"Con","Lab",61.7,22.4,10.4,3.3,419,
"Exmouth and Exeter East","NOT LABOUR",,-39.3,"Con","Other",49.8,10.5,3.0,1.7,420,
"Ely and East Cambridgeshire","LIB DEM","GREEN",-39.6,"Con","LD",54.0,14.4,29.3,0.6,421,46
"Skipton and Ripon","NOT LABOUR",,-39.7,"Con","Lab",58.9,19.2,15.2,4.7,422,141
"Melton and Syston","NOT LABOUR",,-39.8,"Con","Lab",63.3,23.5,7.7,5.5,423,
"St Ives","LIB DEM","GREEN",-39.9,"Con","LD",49.0,9.1,39.3,1.8,424,16
"Mid Bedfordshire","NOT LABOUR",,-40.0,"Con","Lab",60.5,20.5,12.5,3.9,425,
"Herne Bay and Sandwich","NOT LABOUR",,-40.0,"Con","Lab",64.4,24.4,7.5,3.8,426,
"Kenilworth and Southam","NOT LABOUR",,-40.0,"Con","Lab",59.0,19.0,16.9,4.2,427,115
"Maidstone and Malling","NOT LABOUR",,-40.0,"Con","LD",58.4,18.4,18.6,3.8,428,99
"Old Bexley and Sidcup","NOT LABOUR",,-40.0,"Con","Lab",63.9,23.9,8.3,3.5,429,
"Central Suffolk and North Ipswich","NOT LABOUR",,-40.1,"Con","Lab",61.9,21.8,10.6,5.6,430,
"Horsham","LIB DEM",,-40.1,"Con","LD",55.8,15.6,24.7,3.0,431,62
"Eastbourne","LIB DEM","GREEN",-40.1,"Con","LD",47.1,6.9,42.9,0.0,432,9
"Eastleigh","LIB DEM","GREEN",-40.2,"Con","LD",51.9,11.7,34.4,2.0,433,22
"Broxbourne","NOT LABOUR",,-40.3,"Con","Lab",64.2,24.0,9.0,2.8,434,
"Tunbridge Wells","LIB DEM","GREEN",-40.3,"Con","LD",55.1,14.8,28.3,0.0,435,48
